INPUT	CODE-NAME	INPUT-TYPE	#sanskrit	#hindi	#marathi	#modi	#bengali	#gurmukhi	#gujarati	#oriya	#tamil	#telugu	#kannada	#malayalam	#grantha	#iso15919
c.o	candra-o	vowel	u+0911	u+0911	u+0911				u+0A91							ô
o	o	vowel	u+0912	u+0912	u+0912						u+0B92	u+0C12	u+0C92	u+0D12		o
oo | O	oo	vowel	u+0913	u+0913	u+0913	u+1160C	u+0993	u+0A13	u+0A93	u+0B13	u+0B93	u+0C13	u+0C93	u+0D13	u+11313	ō
au | ou | ow	au	vowel	u+0914	u+0914	u+0914	u+1160D	u+0994	u+0A14	u+0A94	u+0B14	u+0B94	u+0C14	u+0C94	u+0D14	u+11314	au
																
																
	dv-a	dependent-vowel														a
	dv-aa	dependent-vowel	u+093E	u+093E	u+093E	u+11630	u+09BE	u+0A3E	u+0ABE	u+0B3E	u+0BBE	u+0C3E	u+0CBE	u+0D3E	u+1133E	ā
	dv-i	dependent-vowel	u+093F	u+093F	u+093F	u+11631	u+09BF	u+0A3F	u+0ABF	u+0B3F	u+0BBF	u+0C3F	u+0CBF	u+0D3F	u+1133F	i
	dv-ii	dependent-vowel	u+0940	u+0940	u+0940	u+11632	u+09C0	u+0A40	u+0AC0	u+0B40	u+0BC0	u+0C40	u+0CC0	u+0D40	u+11340	ī
	dv-u	dependent-vowel	u+0941	u+0941	u+0941	u+11633	u+09C1	u+0A41	u+0AC1	u+0B41	u+0BC1	u+0C41	u+0CC1	u+0D41	u+11341	u
	dv-uu	dependent-vowel	u+0942	u+0942	u+0942	u+11634	u+09C2	u+0A42	u+0AC2	u+0B42	u+0BC2	u+0C42	u+0CC2	u+0D42	u+11342	ū
	dv-vocalic-r	dependent-vowel	u+0943	u+0943	u+0943	u+11635	u+09C3		u+0AC3	u+0B43	{end-word-vowel}{ra}{dv-u}u+0027	u+0C43	u+0CC3	u+0D43	u+11343	r̥
	dv-vocalic-rr	dependent-vowel	u+0944	u+0944	u+0944	u+11636	u+09C4		u+0AC4	u+0B44	{end-word-vowel}{ra}{dv-uu}u+0027	u+0C44	u+0CC4	u+0D44	u+11344	r̥̄
	dv-vocalic-l	dependent-vowel	u+0962	u+0962	u+0962	u+11637	u+09E2		u+0AE2	u+0B62	{end-word-vowel}{la}{dv-u}u+0027	u+0C62	u+0CE2	u+0D62	u+11362	l̥
	dv-vocalic-ll	dependent-vowel	u+0963	u+0963	u+0963	u+11638	u+09E3		u+0AE3	u+0B63	{end-word-vowel}{la}{dv-uu}u+0027	u+0C63	u+0CE3	u+0D63	u+11363	l̥̄
	dv-candra-e	dependent-vowel	u+0945	u+0945	u+0945				u+0AC5							ê
	dv-e	dependent-vowel	u+0946	u+0946	u+0946		u+09C7				u+0BC6	u+0C46	u+0CC6	u+0D46		e
	dv-ee	dependent-vowel	u+0947	u+0947	u+0947	u+11639	u+09C7	u+0A47	u+0AC7	u+0B47	u+0BC7	u+0C47	u+0CC7	u+0D47	u+11347	ē
	dv-ai	dependent-vowel	u+0948	u+0948	u+0948	u+1163A	u+09C8	u+0A48	u+0AC8	u+0B48	u+0BC8	u+0C48	u+0CC8	u+0D48	u+11348	ai
	dv-candra-o	dependent-vowel	u+0949	u+0949	u+0949				u+0AC9	u+0AC9						ô
	dv-o	dependent-vowel	u+094A	u+094A	u+094A		u+09CB				u+0BCA	u+0C4A	u+0CCA	u+0D4A		o
	dv-oo	dependent-vowel	u+094B	u+094B	u+094B	u+1163B	u+09CB	u+0A4B	u+0ACB	u+0B4B	u+0BCB	u+0C4B	u+0CCB	u+0D4B	u+1134B	ō
	dv-au	dependent-vowel	u+094C	u+094C	u+094C	u+1163C	u+09CC	u+0A4C	u+0ACC	u+0B4C	u+0BCC	u+0C4C	u+0CCC	u+0D4C	u+1134C	au
																
k | c	ka	consonant	u+0915	u+0915	u+0915	u+1160E	u+0995	u+0A15	u+0A95	u+0B15	u+0B95	u+0C15	u+0C95	u+0D15	u+11315	k
kh	kha	consonant	u+0916	u+0916	u+0916	u+1160F	u+0996	u+0A16	u+0A96	u+0B16	u+0B95	u+0C16	u+0C96	u+0D16	u+11316	kh
g	ga	consonant	u+0917	u+0917	u+0917	u+11610	u+0997	u+0A17	u+0A97	u+0B17	u+0B95	u+0C17	u+0C97	u+0D17	u+11317	g
gh	gha	consonant	u+0918	u+0918	u+0918	u+11611	u+0998	u+0A18	u+0A98	u+0B18	u+0B95	u+0C18	u+0C98	u+0D18	u+11318	gh
~N | ng	nga	consonant	u+0919	u+0919	u+0919	u+11612	u+0999	u+0A19	u+0A99	u+0B19	u+0B99	u+0C19	u+0C99	u+0D19	u+11319	ṅ
ch	ca	consonant	u+091A	u+091A	u+091A	u+11613	u+099A	u+0A1A	u+0A9A	u+0B1A	u+0B9A	u+0C1A	u+0C9A	u+0D1A	u+1131A	c
chh | Ch	cha	consonant	u+091B	u+091B	u+091B	u+11614	u+099B	u+0A1B	u+0A9B	u+0B1B	u+0B9A	u+0C1B	u+0C9B	u+0D1B	u+1131B	ch
j	ja	consonant	u+091C	u+091C	u+091C	u+11615	u+099C	u+0A1C	u+0A9C	u+0B1C	u+0B9C	u+0C1C	u+0C9C	u+0D1C	u+1131C	j
jh	jha	consonant	u+091D	u+091D	u+091D	u+11616	u+099D	u+0A1D	u+0A9D	u+0B1D	u+0B9C	u+0C1D	u+0C9D	u+0D1D	u+1131D	jh
~n | ny | nj	nya	consonant	u+091E	u+091E	u+091E	u+11617	u+099E	u+0A1E	u+0A9E	u+0B1E	u+0B9E	u+0C1E	u+0C9E	u+0D1E	u+1131E	ñ
T	tta	consonant	u+091F	u+091F	u+091F	u+11618	u+099F	u+0A1F	u+0A9F	u+0B1F	u+0B9F	u+0C1F	u+0C9F	u+0D1F	u+1131F	ṭ
Th	ttha	consonant	u+0920	u+0920	u+0920	u+11619	u+09A0	u+0A20	u+0AA0	u+0B20	u+0B9F	u+0C20	u+0CA0	u+0D20	u+11320	ṭh
D	dda	consonant	u+0921	u+0921	u+0921	u+1161A	u+09A1	u+0A21	u+0AA1	u+0B21	u+0B9F	u+0C21	u+0CA1	u+0D21	u+11321	ḍ
Dh	ddha	consonant	u+0922	u+0922	u+0922	u+1161B	u+09A2	u+0A22	u+0AA2	u+0B22	u+0B9F	u+0C22	u+0CA2	u+0D22	u+11322	ḍh
N	nna	consonant	u+0923	u+0923	u+0923	u+1161C	u+09A3	u+0A23	u+0AA3	u+0B23	u+0BA3	u+0C23	u+0CA3	u+0D23	u+11323	ṇ
t	ta	consonant	u+0924	u+0924	u+0924	u+1161D	u+09A4	u+0A24	u+0AA4	u+0B24	u+0BA4	u+0C24	u+0CA4	u+0D24	u+11324	t
th	tha	consonant	u+0925	u+0925	u+0925	u+1161E	u+09A5	u+0A25	u+0AA5	u+0B25	u+0BA4	u+0C25	u+0CA5	u+0D25	u+11325	th
d	da	consonant	u+0926	u+0926	u+0926	u+1161F	u+09A6	u+0A26	u+0AA6	u+0B26	u+0BA4	u+0C26	u+0CA6	u+0D26	u+11326	d
dh	dha	consonant	u+0927	u+0927	u+0927	u+11620	u+09A7	u+0A27	u+0AA7	u+0B27	u+0BA4	u+0C27	u+0CA7	u+0D27	u+11327	dh
n	na	consonant	u+0928	u+0928	u+0928	u+11621	u+09A8	u+0A28	u+0AA8	u+0B28	u+0BA8	u+0C28	u+0CA8	u+0D28	u+11328	n
^n | nx	nnna	consonant	u+0929	u+0929	u+0929						u+0BA9			u+0D29		ṉ
p	pa	consonant	u+092A	u+092A	u+092A	u+11622	u+09AA	u+0A2A	u+0AAA	u+0B2A	u+0BAA	u+0C2A	u+0CAA	u+0D2A	u+1132a	p
ph	pha	consonant	u+092B	u+092B	u+092B	u+11623	u+09AB	u+0A2B	u+0AAB	u+0B2B	u+0BAA	u+0C2B	u+0CAB	u+0D2B	u+1132b	ph
b	ba	consonant	u+092C	u+092C	u+092C	u+11624	u+09AC	u+0A2C	u+0AAC	u+0B2C	u+0BAA	u+0C2C	u+0CAC	u+0D2C	u+1132c	b
bh	bha	consonant	u+092D	u+092D	u+092D	u+11625	u+09AD	u+0A2D	u+0AAD	u+0B2D	u+0BAA	u+0C2D	u+0CAD	u+0D2D	u+1132d	bh
m	ma	consonant	u+092E	u+092E	u+092E	u+11626	u+09AE	u+0A2E	u+0AAE	u+0B2E	u+0BAE	u+0C2E	u+0CAE	u+0D2E	u+1132e	m
y	ya	consonant	u+092F	u+092F	u+092F	u+11627	u+09AF	u+0A2F	u+0AAF	u+0B2F	u+0BAF	u+0C2F	u+0CAF	u+0D2F	u+1132f	y
r	ra	consonant	u+0930	u+0930	u+0930	u+11628	u+09B0	u+0A30	u+0AB0	u+0B30	u+0BB0	u+0C30	u+0CB0	u+0D30	u+11330	r
